,emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
163,1416,0.2,0.9,6,138,3,0,1,0,technical,low
164,8704,0.61,0.77,4,195,2,0,0,0,sales,low
165,10929,0.98,0.58,3,183,3,0,0,0,sales,low
166,12228,0.44,0.54,2,149,3,0,1,0,hr,low
167,2431,0.93,0.53,3,200,3,1,0,0,product_mng,low
168,14375,0.79,0.89,5,239,5,0,1,0,sales,low
169,421,0.09,0.96,6,268,4,0,1,0,technical,medium
170,10238,0.88,0.81,4,235,6,0,0,0,sales,medium
171,6392,0.59,0.59,4,270,2,0,0,0,technical,low
172,3743,0.69,0.84,3,253,2,0,0,0,technical,medium
173,12108,0.44,0.5,2,148,3,0,1,0,accounting,medium
174,6229,0.76,0.8,4,226,5,0,0,0,support,low
175,2764,0.84,0.99,2,184,2,0,0,0,sales,high
176,11887,0.86,0.62,4,186,3,0,0,0,product_mng,low
177,8720,0.73,0.59,6,121,5,0,0,0,sales,low
178,9884,0.88,0.57,4,261,4,0,0,0,technical,low
179,709,0.11,0.87,6,255,4,0,1,0,sales,low
180,10428,0.71,0.76,3,134,3,1,0,0,support,low
181,10855,0.59,0.72,3,182,3,0,0,0,sales,medium
182,10600,0.97,0.52,4,207,3,0,0,0,product_mng,low
183,2557,0.63,0.91,4,246,3,0,0,0,technical,medium
184,9564,0.19,0.73,4,231,3,0,0,0,sales,low
185,9011,0.6,0.7,5,229,2,0,0,0,technical,medium
186,14882,0.43,0.56,2,129,3,0,1,0,sales,low
187,380,0.77,0.93,4,231,5,0,1,0,hr,medium
188,1489,0.1,0.96,7,288,4,0,1,0,technical,low
189,801,0.91,0.97,4,251,6,0,1,0,technical,low
190,209,0.44,0.5,2,128,3,0,1,0,support,low
191,9367,0.49,0.79,5,177,2,0,0,0,support,low
192,12139,0.74,1.0,4,249,5,0,1,0,IT,low
193,4093,0.65,0.82,4,207,2,0,0,0,support,low
194,14124,0.91,0.82,2,241,3,0,0,0,sales,medium
195,4906,0.54,0.76,3,157,4,0,0,0,sales,low
196,5134,0.71,0.76,3,175,2,0,0,0,sales,medium
197,7167,0.16,0.57,5,144,4,1,0,0,product_mng,low
198,12585,0.41,0.56,2,154,3,0,1,1,support,medium
199,2196,0.98,0.58,4,136,3,0,0,0,technical,low
200,13643,0.81,0.77,3,221,2,0,0,0,technical,low
201,4759,0.95,0.56,5,194,2,0,0,0,sales,high
202,9739,0.85,0.92,3,188,4,0,0,0,technical,medium
203,9182,0.54,0.53,3,184,3,0,0,0,sales,low
204,13910,0.62,0.73,3,245,4,0,0,0,IT,low
205,13653,0.61,0.81,4,134,3,0,0,0,sales,medium
206,14214,0.11,0.88,7,272,4,0,1,0,sales,medium
207,282,0.27,0.56,3,301,3,0,1,0,support,low
208,7634,0.6,0.77,3,202,3,0,0,0,sales,low
209,13070,0.53,0.77,4,259,2,1,0,1,sales,medium
210,4643,0.59,0.82,2,233,2,0,0,0,IT,medium
211,3437,0.15,0.36,5,159,2,0,0,0,accounting,low
212,7665,0.78,0.97,4,221,4,0,0,0,hr,low
213,5406,0.54,0.64,3,203,4,0,0,0,IT,medium
214,13492,0.96,0.71,3,205,8,1,0,0,management,medium
215,5871,0.32,0.79,4,136,3,0,0,0,product_mng,medium
216,4734,0.56,0.54,4,191,2,1,0,1,sales,medium
217,4877,0.8,0.93,3,260,3,0,0,0,product_mng,low
218,5454,0.51,0.88,3,202,4,0,0,0,hr,low
219,2924,0.83,0.57,4,232,3,0,0,0,sales,medium
220,14483,0.11,0.84,6,251,4,0,1,0,technical,medium
221,8449,0.99,0.79,4,213,3,0,0,0,support,low
222,2047,0.84,0.65,2,140,3,0,0,0,IT,low
223,14829,0.83,0.95,4,251,5,0,1,0,marketing,medium
224,6071,0.78,0.47,4,129,2,0,0,0,technical,medium
225,9960,0.43,0.92,5,151,4,0,0,0,technical,low
226,5538,0.35,0.41,6,244,3,0,0,0,technical,low
227,6659,0.95,0.67,3,153,2,0,0,0,sales,low
228,14358,0.76,0.92,4,239,5,0,1,0,product_mng,low
229,12241,0.1,0.87,7,289,4,0,1,0,sales,low
230,879,0.38,0.47,2,143,3,0,1,0,technical,low
231,12398,0.09,0.79,6,293,5,0,1,0,sales,low
232,9718,0.73,0.89,5,223,3,0,0,0,sales,low
233,5783,0.85,0.77,5,263,3,0,0,0,support,medium
234,2185,0.79,0.84,3,176,3,0,0,0,support,low
235,12708,0.79,0.91,5,271,5,0,1,0,sales,low
236,8450,0.96,0.73,3,193,3,1,0,0,support,high
237,6538,0.49,0.63,3,245,4,0,0,0,support,low
238,1002,0.11,0.85,6,267,4,0,1,0,sales,medium
239,200,0.77,0.94,5,226,6,0,1,0,support,low
240,13220,0.92,0.99,3,176,8,0,0,0,sales,medium
241,3138,0.72,0.66,3,152,2,0,0,0,marketing,low
242,8842,0.57,0.61,3,112,5,0,0,0,IT,medium
243,3047,0.66,0.81,4,148,4,0,0,0,product_mng,low
244,7202,0.74,0.64,3,267,5,0,0,0,sales,low
245,11791,0.9,0.54,4,172,4,0,0,0,sales,medium
246,9577,0.24,0.58,3,184,5,1,0,0,technical,medium
247,14018,0.64,0.94,4,210,3,0,0,0,product_mng,low
248,11389,0.52,0.8,3,252,4,0,0,0,product_mng,low
249,14388,0.41,0.48,2,148,3,0,1,0,sales,low
250,468,0.09,0.95,6,292,4,0,1,0,sales,medium
251,8615,0.68,0.69,4,176,3,1,0,0,IT,medium
252,4816,0.92,0.56,4,170,3,0,0,0,marketing,medium
253,14968,0.43,0.51,2,128,3,0,1,0,sales,low
254,7284,0.75,0.82,3,169,3,0,0,0,hr,low
255,7337,0.52,0.75,4,266,3,0,0,0,marketing,medium
256,2624,0.91,0.61,4,243,2,1,0,0,accounting,low
257,58,0.1,0.81,6,309,4,0,1,0,technical,low
258,5298,0.21,0.93,4,260,3,0,0,0,hr,low
259,14787,0.39,0.49,2,129,3,0,1,0,technical,medium
260,7188,0.96,0.62,6,193,4,0,0,0,sales,medium
261,3570,0.73,0.83,2,167,3,0,0,0,technical,medium
262,12767,0.75,0.81,5,227,5,0,1,0,technical,medium
263,11087,0.9,0.49,3,259,6,0,0,0,IT,medium
264,11242,0.62,0.79,3,259,3,0,0,0,support,medium
265,12842,0.95,0.71,4,151,4,0,0,0,sales,medium
266,4240,0.98,0.5,4,264,3,0,0,0,technical,high
267,14775,0.1,0.77,7,291,4,0,1,0,accounting,low
268,13795,0.6,0.98,4,146,10,0,0,0,technical,low
269,5316,0.88,0.98,3,152,3,0,0,0,support,medium
270,1597,0.36,0.48,5,310,3,0,1,0,product_mng,medium
271,258,0.42,0.54,2,156,3,0,1,0,sales,medium
272,8949,0.75,0.68,3,237,5,0,0,0,sales,low
273,2971,0.74,0.63,3,230,2,0,0,0,product_mng,low
274,12390,0.42,0.57,2,154,3,1,1,0,marketing,medium
275,12218,0.9,0.98,5,245,5,0,1,0,IT,low
276,9089,0.86,0.89,3,250,2,0,0,0,marketing,medium
277,8557,0.95,0.95,4,204,3,1,0,0,marketing,low
278,11217,0.5,0.71,4,163,8,0,0,1,hr,medium
279,12926,0.14,0.66,5,281,4,1,0,0,accounting,medium
280,14232,0.11,0.83,6,282,4,0,1,0,sales,low
281,8018,0.64,0.69,4,232,3,0,0,0,technical,high
282,14633,0.1,0.94,6,287,4,0,1,0,technical,medium
283,2136,0.64,0.77,3,213,3,1,0,0,RandD,medium
284,8323,0.55,0.75,4,166,2,0,0,0,sales,low
285,14359,0.11,0.87,6,306,4,0,1,0,IT,low
286,9246,0.52,0.82,4,198,4,0,0,0,sales,low
287,7001,0.56,0.76,3,207,2,0,0,0,support,medium
288,11151,0.54,0.61,4,118,5,0,0,0,support,low
289,11538,0.6,0.9,4,260,2,0,0,0,sales,medium
290,4305,0.95,0.75,3,253,4,0,0,0,accounting,low
291,2896,0.48,0.56,5,140,2,0,0,0,IT,low
292,3882,0.88,0.67,5,141,2,0,0,0,product_mng,medium
293,11364,0.57,0.6,2,163,3,0,0,0,sales,medium
294,13942,0.91,0.58,3,220,7,0,0,1,sales,low
295,3502,0.65,0.36,2,282,3,0,0,0,product_mng,medium
296,10950,0.49,0.67,3,140,2,0,0,0,hr,medium
297,12164,0.79,0.89,5,239,5,0,1,0,sales,low
298,6903,0.88,0.88,3,220,4,0,0,0,hr,medium
299,12922,0.89,0.51,4,185,3,1,0,0,sales,high
300,2413,0.67,0.5,4,173,2,1,0,0,support,high
301,8414,0.84,0.93,5,225,4,0,0,0,sales,high
302,12771,0.1,0.83,6,300,4,0,1,0,marketing,medium
303,4483,0.51,0.67,4,228,3,0,0,0,support,low
304,1190,0.36,0.51,2,155,3,0,1,0,support,low
305,11562,0.73,0.56,3,245,8,0,0,0,sales,medium
306,12041,0.87,0.88,5,269,5,0,1,0,technical,low
307,5724,0.88,0.62,4,221,2,0,0,0,RandD,low
308,2377,0.6,0.57,2,184,3,0,0,0,sales,medium
309,4773,0.58,0.98,3,146,3,0,0,0,technical,medium
310,9665,0.9,0.68,4,204,4,1,0,0,support,low
311,6645,0.64,0.9,5,279,5,0,0,0,management,medium
312,6166,0.27,0.39,4,193,4,0,0,0,technical,medium
313,14972,0.39,0.45,2,140,3,0,1,0,sales,medium
314,9674,0.54,0.82,3,284,2,1,0,0,support,low
315,10114,0.51,0.55,3,261,3,0,0,0,technical,low
316,3479,0.49,0.76,3,208,2,0,0,0,technical,low
317,4185,0.5,0.69,5,172,2,0,0,0,IT,medium
318,7314,0.31,0.42,2,169,5,0,0,0,IT,low
319,5817,0.85,0.5,4,267,3,0,0,0,sales,low
320,2570,0.79,0.58,5,165,3,0,0,0,support,low
321,13201,0.17,0.55,6,240,6,0,0,0,RandD,low
322,7681,0.72,0.89,4,217,3,0,0,0,support,medium
323,11951,0.49,0.88,4,244,3,0,0,0,sales,low
324,11540,0.74,0.49,4,233,3,0,0,0,sales,medium
325,456,0.44,0.53,2,127,3,0,1,0,RandD,medium
326,4451,0.68,1.0,3,148,4,1,0,0,sales,low
327,4449,0.97,0.74,3,104,5,0,0,0,sales,low
328,14302,0.4,0.5,2,130,3,0,1,0,sales,low
329,1296,0.38,0.5,2,139,3,0,1,0,RandD,low
330,6450,0.88,0.99,3,190,5,0,0,0,technical,high
331,14146,0.88,0.51,5,195,4,0,0,0,IT,low
332,11989,0.49,0.49,3,104,7,0,0,0,product_mng,high
333,3386,0.79,0.55,3,147,3,0,0,0,sales,medium
334,12724,0.38,0.54,2,135,3,0,1,0,technical,medium
335,12838,0.16,0.54,5,206,5,0,0,0,sales,medium
336,14913,0.11,0.8,6,304,4,0,1,0,technical,low
337,2546,0.52,0.38,6,169,3,0,0,0,accounting,low
338,6118,0.9,0.6,3,268,3,0,0,0,sales,low
339,9798,0.69,0.77,3,232,2,0,0,0,sales,low
340,145,0.84,0.99,4,267,5,0,1,0,product_mng,low
341,12837,0.54,0.74,2,166,3,0,0,0,sales,medium
342,14814,0.1,0.84,7,250,4,0,1,0,product_mng,low
343,10822,0.7,0.6,5,208,3,0,0,0,management,medium
344,5330,0.81,0.59,2,236,3,0,0,0,IT,medium
345,11017,0.62,0.79,4,268,6,0,0,0,sales,medium
346,4723,0.5,0.82,3,133,2,1,0,0,product_mng,low
347,1187,0.11,0.96,6,262,4,1,1,0,technical,low
348,10546,0.92,0.55,4,220,2,0,0,0,sales,medium
349,5682,0.61,0.87,4,151,3,0,0,0,hr,medium
350,6427,0.86,0.56,5,141,2,0,0,0,sales,medium
351,12543,0.77,0.91,5,236,5,0,1,0,marketing,medium
352,7527,1.0,0.56,3,182,3,0,0,0,support,medium
353,14010,0.61,0.42,3,145,4,0,0,1,sales,medium
354,920,0.82,0.86,4,264,5,0,1,0,management,medium
355,7675,0.4,0.65,6,172,2,1,0,0,technical,low
356,2073,0.97,0.83,4,202,3,0,0,0,sales,low
357,13663,0.74,0.77,3,211,3,0,0,0,management,high
358,13767,0.98,0.44,4,154,6,1,0,0,sales,medium
359,764,0.39,0.46,2,159,3,0,1,0,sales,medium
360,5378,0.89,0.95,5,203,3,0,0,0,technical,low
361,6043,0.72,0.76,3,269,3,1,0,0,sales,medium
362,9635,0.93,0.69,3,213,4,0,0,0,sales,low
363,8004,0.69,0.69,3,236,4,0,0,0,product_mng,medium
364,3704,0.68,0.7,3,209,3,0,0,0,technical,high
365,10509,0.51,0.98,4,245,3,0,0,0,support,medium
366,5853,0.94,0.46,2,230,2,1,0,0,support,low
367,6030,0.85,0.98,5,156,2,0,0,0,RandD,low
368,4564,0.87,0.95,4,251,3,0,0,0,technical,medium
369,8845,0.22,0.8,4,149,5,0,0,0,product_mng,medium
370,1859,0.38,0.47,2,128,3,0,1,0,sales,medium
371,5804,0.74,0.67,4,158,3,0,0,0,sales,low
372,10832,0.87,0.72,2,154,3,0,0,0,IT,medium
373,1172,0.11,0.91,6,302,4,0,1,0,accounting,low
374,5098,0.53,0.83,4,246,3,0,0,0,IT,high
375,7318,0.72,0.98,3,211,2,0,0,0,IT,low
376,9616,0.95,0.55,5,134,3,0,0,0,IT,medium
377,12658,0.43,0.55,2,130,3,0,1,0,support,high
378,3504,0.57,0.77,4,245,3,0,0,0,product_mng,medium
379,14616,0.76,0.87,5,245,5,0,1,0,sales,low
380,12902,0.9,0.88,5,254,2,0,0,0,marketing,medium
381,10518,0.54,0.95,5,255,2,0,0,0,IT,medium
382,9888,0.58,0.63,4,272,3,0,0,0,technical,medium
383,7953,0.41,0.56,2,121,2,0,0,0,sales,medium
384,9690,0.69,0.91,6,247,6,0,0,0,RandD,medium
385,14357,0.41,0.46,2,151,3,0,1,0,product_mng,low
386,3944,0.74,0.37,2,171,4,0,0,0,support,low
387,5432,0.7,0.95,5,234,6,1,0,0,sales,medium
388,4614,0.67,0.49,4,195,3,0,0,0,hr,low
389,11398,0.55,0.69,4,220,3,1,0,0,management,high
390,5262,0.6,0.83,2,189,2,0,0,0,RandD,low
391,5172,0.93,0.6,5,170,2,0,0,0,technical,medium
392,6537,0.68,0.57,3,197,3,1,0,0,support,medium
393,10931,0.8,0.82,4,271,4,0,0,0,sales,low
394,8783,0.57,0.95,4,176,3,0,0,0,technical,high
395,11996,0.9,0.55,3,259,10,1,0,1,management,high
396,11463,0.81,0.61,2,176,5,0,0,1,marketing,low
397,256,0.44,0.45,2,156,3,0,1,0,sales,medium
398,10168,0.2,0.83,4,258,4,0,0,0,sales,high
399,10515,0.25,0.53,4,160,4,0,0,0,technical,medium
400,10748,0.93,0.86,4,192,4,0,0,0,IT,high
401,5877,0.55,0.9,3,181,3,1,0,0,RandD,low
402,13972,0.32,0.48,4,117,10,0,0,1,marketing,medium
403,838,0.09,0.93,6,308,4,0,1,0,RandD,low
404,13660,0.57,0.46,3,186,3,1,0,0,IT,medium
405,4868,0.67,0.85,3,153,4,0,0,0,technical,low
406,5608,0.26,0.37,2,232,3,1,0,0,hr,low
407,3419,0.36,0.55,6,226,6,0,0,0,management,medium
408,5034,0.36,0.59,2,198,2,0,0,1,RandD,medium
409,12802,0.56,0.83,3,236,3,1,0,0,technical,medium
410,13410,0.56,0.87,3,146,10,0,0,0,sales,low
411,14195,0.67,0.49,5,241,8,0,0,0,sales,medium
412,8295,0.34,0.51,3,105,3,0,0,0,support,medium
413,7210,0.87,0.98,3,174,3,0,0,0,hr,low
414,10709,0.56,0.41,5,152,3,0,0,0,sales,medium
415,12308,0.11,0.81,5,287,4,0,1,0,sales,low
416,5675,0.87,0.76,4,218,2,0,0,0,sales,low
417,10089,0.81,0.77,4,239,3,0,0,0,sales,medium
418,5563,0.86,0.68,2,192,3,0,0,0,product_mng,high
419,7162,0.76,0.56,4,137,3,0,0,0,IT,low
420,10221,0.57,0.54,4,210,3,0,0,0,product_mng,low
421,13716,0.7,0.68,3,150,3,0,0,0,support,low
422,1754,0.91,1.0,4,245,6,0,1,0,RandD,medium
423,4778,0.63,0.58,4,141,3,1,0,0,technical,medium
424,14946,0.14,0.75,4,277,5,1,1,0,sales,medium
425,7979,0.69,0.63,4,272,2,0,0,0,technical,low
426,4164,0.63,0.9,2,242,3,1,0,0,technical,high
427,4200,0.98,0.51,3,157,3,0,0,0,marketing,medium
428,6860,0.54,0.73,4,266,3,0,0,0,product_mng,low
429,4317,0.5,0.51,5,238,4,0,0,0,technical,medium
430,6757,0.89,0.5,4,238,3,0,0,0,technical,medium
431,2769,0.8,0.99,3,248,3,1,0,0,sales,medium
432,13304,0.61,0.5,4,269,3,0,0,0,IT,medium
433,4826,0.95,0.53,4,162,3,0,0,0,sales,medium
434,203,0.76,1.0,5,219,5,0,1,0,support,low
435,9042,0.48,0.63,5,129,5,0,0,0,technical,medium
436,1193,0.44,0.51,2,129,3,0,1,0,support,medium
437,4136,0.16,0.74,5,205,4,1,0,0,sales,low
438,7009,0.56,0.68,3,109,3,0,0,0,IT,low
439,8520,0.5,0.59,4,157,2,0,0,0,technical,low
440,4245,0.49,0.48,3,190,2,0,0,0,technical,medium
441,8058,0.97,0.95,5,201,2,0,0,0,technical,low
442,13687,0.67,0.65,3,265,3,0,0,0,product_mng,medium
443,6026,0.63,0.91,3,252,2,0,0,0,RandD,high
444,577,0.48,0.78,2,198,2,0,1,0,technical,medium
445,1505,0.86,0.91,5,245,5,0,1,0,support,medium
446,4915,0.74,0.53,5,141,2,0,0,0,accounting,low
447,10052,0.63,0.74,4,234,3,0,0,0,support,low
448,8830,0.67,0.72,4,223,3,0,0,0,support,medium
449,4252,0.7,0.56,4,182,2,0,0,0,support,low
450,9692,0.66,0.75,4,235,3,0,0,0,RandD,medium
451,2225,0.25,0.41,3,133,6,1,0,0,sales,low
452,7226,0.94,0.82,3,246,3,0,0,0,support,low
453,13627,0.69,0.51,3,257,3,1,0,0,IT,low
